run,arm,width,height,sample,Timestamp,FrameTime,GPUTime,GameThreadTime,RenderThreadTime,RHIThreadTime,GameThreadWaitTime,PawnCount,IgnoredForSummary
hwrt-off-1080-2-v4,v4,1920,1080,18,2026-09-07T22:14:09.579Z,11.136000,9.109600,5.581600,11.136000,5.127600,6.208700,1,0
hwrt-off-1080-2-v4,v4,1920,1080,19,2026-09-07T22:14:10.574Z,10.612800,9.154900,5.919800,10.612800,5.018400,5.787300,1,0
hwrt-off-1080-2-v4,v4,1920,1080,20,2026-09-07T22:14:11.570Z,10.647500,9.149000,5.759200,10.647500,4.912600,5.718600,1,0
hwrt-off-1080-2-v4,v4,1920,1080,21,2026-09-07T22:14:12.574Z,10.736700,9.154900,5.709400,10.736700,4.917500,5.726800,1,0
hwrt-off-1080-2-v4,v4,1920,1080,22,2026-09-07T22:14:13.570Z,10.912800,9.120300,5.938300,10.912800,5.367000,5.919500,1,0
hwrt-off-1080-2-v4,v4,1920,1080,23,2026-09-07T22:14:14.573Z,10.668600,9.125700,5.752500,10.668600,5.005200,5.892500,1,0
hwrt-off-1080-2-v4,v4,1920,1080,24,2026-09-07T22:14:15.576Z,10.932200,9.116800,5.657600,10.932200,4.994600,5.934600,1,0
hwrt-off-1080-2-v4,v4,1920,1080,25,2026-09-07T22:14:16.571Z,10.553200,9.153500,6.525300,10.553200,4.838200,5.711000,1,0
hwrt-off-1080-2-v4,v4,1920,1080,26,2026-09-07T22:14:17.576Z,10.673500,9.139800,5.388800,10.673500,4.995300,5.795600,1,0
hwrt-off-1080-2-v4,v4,1920,1080,27,2026-09-07T22:14:18.579Z,10.858000,9.150000,5.442600,10.858000,5.039100,5.824400,1,0
hwrt-off-1080-2-v4,v4,1920,1080,28,2026-09-07T22:14:19.572Z,10.812100,9.143400,6.088000,10.812100,5.188600,5.922700,1,0
hwrt-off-1080-2-v4,v4,1920,1080,29,2026-09-07T22:14:20.575Z,10.840600,9.110900,5.832800,10.840600,4.819400,6.212600,1,0
hwrt-off-1080-2-v4,v4,1920,1080,30,2026-09-07T22:14:21.570Z,11.120900,9.185900,5.831700,11.120900,5.008200,5.876900,1,0
hwrt-off-1080-3-v4,v4,1920,1080,1,2026-09-07T22:17:18.574Z,10.777900,9.172100,5.816700,10.777900,4.893400,5.742500,1,0
hwrt-off-1080-3-v4,v4,1920,1080,2,2026-09-07T22:17:19.579Z,10.664100,9.155200,6.023400,10.664100,4.912000,5.835900,1,0
hwrt-off-1080-3-v4,v4,1920,1080,3,2026-09-07T22:17:20.577Z,10.624600,9.200600,5.904900,10.624600,5.002200,6.169600,1,0
hwrt-off-1080-3-v4,v4,1920,1080,4,2026-09-07T22:17:21.576Z,10.574100,9.172500,5.674300,10.574100,4.939600,5.906700,1,0
hwrt-off-1080-3-v4,v4,1920,1080,5,2026-09-07T22:17:22.573Z,10.586300,9.166800,6.262300,10.586300,4.961400,5.745500,1,0
hwrt-off-1080-3-v4,v4,1920,1080,6,2026-09-07T22:17:23.571Z,10.846200,9.159500,5.470000,10.846200,4.969300,5.950100,1,0
hwrt-off-1080-3-v4,v4,1920,1080,7,2026-09-07T22:17:24.577Z,10.432600,9.141400,5.261400,10.432600,5.139500,5.821000,1,0
hwrt-off-1080-3-v4,v4,1920,1080,8,2026-09-07T22:17:25.578Z,11.958700,9.206200,11.958700,10.829300,5.129500,6.085100,1,0
hwrt-off-1080-3-v4,v4,1920,1080,9,2026-09-07T22:17:26.576Z,10.785600,9.160700,6.242900,10.785600,4.930900,5.916500,1,0
hwrt-off-1080-3-v4,v4,1920,1080,10,2026-09-07T22:17:27.574Z,11.138100,9.183100,5.780700,11.138100,4.999200,5.968100,1,0
hwrt-off-1080-3-v4,v4,1920,1080,11,2026-09-07T22:17:28.574Z,10.797700,9.200200,6.022200,10.797700,5.122300,9.032600,1,0
hwrt-off-1080-3-v4,v4,1920,1080,12,2026-09-07T22:17:29.571Z,10.531200,9.198500,5.836100,10.531200,5.124900,5.995400,1,0
hwrt-off-1080-3-v4,v4,1920,1080,13,2026-09-07T22:17:30.578Z,10.685300,9.173600,5.761900,10.685300,5.032400,5.631900,1,0
hwrt-off-1080-3-v4,v4,1920,1080,14,2026-09-07T22:17:31.576Z,11.182300,9.171500,5.895800,11.182300,5.294500,6.675800,1,0
hwrt-off-1080-3-v4,v4,1920,1080,15,2026-09-07T22:17:32.576Z,10.499200,9.187200,5.934100,10.499200,5.013400,5.999500,1,0
hwrt-off-1080-3-v4,v4,1920,1080,16,2026-09-07T22:17:33.573Z,10.995900,9.166000,5.588400,10.995900,5.176800,6.063600,1,0
hwrt-off-1080-3-v4,v4,1920,1080,17,2026-09-07T22:17:34.571Z,10.760600,9.160600,5.821300,10.760600,4.993600,5.992600,1,0
hwrt-off-1080-3-v4,v4,1920,1080,18,2026-09-07T22:17:35.580Z,11.152500,9.218900,5.877600,11.152500,5.095800,5.925400,1,0
hwrt-off-1080-3-v4,v4,1920,1080,19,2026-09-07T22:17:36.579Z,10.577100,9.185100,5.813100,10.577100,4.936100,5.791000,1,0
hwrt-off-1080-3-v4,v4,1920,1080,20,2026-09-07T22:17:37.578Z,11.025700,9.202800,5.803200,11.025700,5.019400,5.962000,1,0
hwrt-off-1080-3-v4,v4,1920,1080,21,2026-09-07T22:17:38.576Z,10.640600,9.247700,5.442600,10.640600,4.983600,5.873800,1,0
hwrt-off-1080-3-v4,v4,1920,1080,22,2026-09-07T22:17:39.574Z,11.081500,9.203000,6.067400,11.081500,4.949800,5.862500,1,0
hwrt-off-1080-3-v4,v4,1920,1080,23,2026-09-07T22:17:40.570Z,11.055200,9.192900,5.859400,11.055200,5.415600,6.205600,1,0
hwrt-off-1080-3-v4,v4,1920,1080,24,2026-09-07T22:17:41.578Z,10.508200,9.191600,6.087700,10.508200,5.011000,5.728100,1,0
hwrt-off-1080-3-v4,v4,1920,1080,25,2026-09-07T22:17:42.577Z,10.934900,9.230400,5.640200,10.934900,5.003800,5.904800,1,0
hwrt-off-1080-3-v4,v4,1920,1080,26,2026-09-07T22:17:43.575Z,10.828900,9.168200,5.699300,10.828900,5.262700,6.107800,1,0
hwrt-off-1080-3-v4,v4,1920,1080,27,2026-09-07T22:17:44.572Z,11.624900,9.146700,5.894600,11.624900,5.007300,5.820300,1,0
hwrt-off-1080-3-v4,v4,1920,1080,28,2026-09-07T22:17:45.578Z,10.619100,9.158200,5.810500,10.619100,4.957200,5.827900,1,0
hwrt-off-1080-3-v4,v4,1920,1080,29,2026-09-07T22:17:46.574Z,10.527900,9.173900,5.934600,10.527900,5.018400,5.786100,1,0
hwrt-off-1080-3-v4,v4,1920,1080,30,2026-09-07T22:17:47.574Z,10.716300,9.229300,5.710500,10.716300,4.944100,5.917800,1,0
hwrt-off-1080-4-v3,v3,1920,1080,1,2026-09-07T22:21:01.574Z,12.656000,10.227600,5.856300,12.656000,6.343600,7.299000,1,0
hwrt-off-1080-4-v3,v3,1920,1080,2,2026-09-07T22:21:02.578Z,12.270600,10.244300,7.557400,12.270600,6.126100,7.053200,1,0
hwrt-off-1080-4-v3,v3,1920,1080,3,2026-09-07T22:21:03.581Z,12.962400,10.219500,5.858700,12.962400,6.105100,6.802600,1,0
hwrt-off-1080-4-v3,v3,1920,1080,4,2026-09-07T22:21:04.577Z,13.373300,10.308800,6.269800,13.373300,6.133300,7.084500,1,0
hwrt-off-1080-4-v3,v3,1920,1080,5,2026-09-07T22:21:05.573Z,12.555200,10.259800,6.015800,12.555200,6.385500,7.158600,1,0
hwrt-off-1080-4-v3,v3,1920,1080,6,2026-09-07T22:21:06.579Z,12.406700,10.240200,6.270800,12.406700,6.167300,7.142900,1,0
hwrt-off-1080-4-v3,v3,1920,1080,7,2026-09-07T22:21:07.574Z,12.016700,10.236100,5.653900,12.016700,6.362000,7.026000,1,0
hwrt-off-1080-4-v3,v3,1920,1080,8,2026-09-07T22:21:08.580Z,13.151200,10.223900,12.675400,13.151200,6.118200,6.936900,1,0
hwrt-off-1080-4-v3,v3,1920,1080,9,2026-09-07T22:21:09.575Z,12.292200,10.225900,5.817500,12.292200,6.298700,6.914500,1,0
hwrt-off-1080-4-v3,v3,1920,1080,10,2026-09-07T22:21:10.580Z,12.469200,10.263600,6.006100,12.469200,6.376900,8.818900,1,0
hwrt-off-1080-4-v3,v3,1920,1080,11,2026-09-07T22:21:11.577Z,12.761500,10.230100,8.199900,12.761500,6.168600,7.042700,1,0
hwrt-off-1080-4-v3,v3,1920,1080,12,2026-09-07T22:21:12.581Z,12.076000,10.243200,5.901700,12.076000,6.292400,6.872400,1,0
hwrt-off-1080-4-v3,v3,1920,1080,13,2026-09-07T22:21:13.575Z,12.591600,10.229600,6.424700,12.591600,6.144200,6.907100,1,0
hwrt-off-1080-4-v3,v3,1920,1080,14,2026-09-07T22:21:14.579Z,12.537600,10.230300,7.202200,12.537600,6.245100,7.440100,1,0
hwrt-off-1080-4-v3,v3,1920,1080,15,2026-09-07T22:21:15.572Z,12.925400,10.275500,7.220500,12.925400,6.521200,6.978000,1,0
hwrt-off-1080-4-v3,v3,1920,1080,16,2026-09-07T22:21:16.578Z,12.346200,10.264700,7.253400,12.346200,6.275900,7.135600,1,0
hwrt-off-1080-4-v3,v3,1920,1080,17,2026-09-07T22:21:17.573Z,11.967900,10.261400,6.007900,11.967900,6.297200,6.811100,1,0
hwrt-off-1080-4-v3,v3,1920,1080,18,2026-09-07T22:21:18.576Z,13.100000,10.244400,6.928700,13.100000,6.169700,6.972400,1,0
