run,driver,sequence,start_ticks,end_ticks,frequency,gpu_ms,gpu_completion_fence_verified
01,installed-2.84,1972,15941160501857,15941161086257,100000000,5.844,True
01,installed-2.84,1973,15941165573409,15941166156293,100000000,5.82884,True
01,installed-2.84,1974,15941170658925,15941171242049,100000000,5.83124,True
01,installed-2.84,1975,15941175730481,15941176315297,100000000,5.84816,True
01,installed-2.84,1976,15941180794289,15941181379741,100000000,5.85452,True
01,installed-2.84,1977,15941185884597,15941186468485,100000000,5.83888,True
01,installed-2.84,1978,15941190955777,15941191541261,100000000,5.85484,True
01,installed-2.84,1979,15941196038277,15941196623433,100000000,5.85156,True
01,installed-2.84,1980,15941201143441,15941201728609,100000000,5.85168,True
01,installed-2.84,1981,15941206266857,15941206850929,100000000,5.84072,True
01,installed-2.84,1982,15941211349805,15941211934405,100000000,5.846,True
01,installed-2.84,1983,15941216439073,15941217022025,100000000,5.82952,True
01,installed-2.84,1984,15941221507705,15941222092221,100000000,5.84516,True
01,installed-2.84,1985,15941226603341,15941227186053,100000000,5.82712,True
01,installed-2.84,1986,15941231694005,15941232277761,100000000,5.83756,True
01,installed-2.84,1987,15941236771593,15941237356229,100000000,5.84636,True
01,installed-2.84,1988,15941241850517,15941242434337,100000000,5.8382,True
01,installed-2.84,1989,15941246938281,15941247521413,100000000,5.83132,True
01,installed-2.84,1990,15941252038505,15941252624813,100000000,5.86308,True
01,installed-2.84,1991,15941257138921,15941257723521,100000000,5.846,True
01,installed-2.84,1992,15941262224101,15941262808277,100000000,5.84176,True
01,installed-2.84,1993,15941267290293,15941267874449,100000000,5.84156,True
01,installed-2.84,1994,15941272352601,15941272940761,100000000,5.8816,True
01,installed-2.84,1995,15941277435881,15941278020553,100000000,5.84672,True
01,installed-2.84,1996,15941282528277,15941283113193,100000000,5.84916,True
01,installed-2.84,1997,15941287627109,15941288211289,100000000,5.8418,True
01,installed-2.84,1998,15941292735385,15941293320217,100000000,5.84832,True
01,installed-2.84,1999,15941297808457,15941298392953,100000000,5.84496,True
01,installed-2.84,2000,15941302881909,15941303466473,100000000,5.84564,True
01,installed-2.84,2001,15941307967729,15941308551709,100000000,5.8398,True
01,installed-2.84,2002,15941313041185,15941313625269,100000000,5.84084,True
01,installed-2.84,2003,15941318124269,15941318708085,100000000,5.83816,True
01,installed-2.84,2004,15941323214677,15941323798753,100000000,5.84076,True
01,installed-2.84,2005,15941328301157,15941328885101,100000000,5.83944,True
01,installed-2.84,2006,15941333382037,15941333966913,100000000,5.84876,True
01,installed-2.84,2007,15941338466013,15941339048409,100000000,5.82396,True
01,installed-2.84,2008,15941343519917,15941344105349,100000000,5.85432,True
01,installed-2.84,2009,15941348635409,15941349219325,100000000,5.83916,True
01,installed-2.84,2010,15941353708881,15941354293697,100000000,5.84816,True
01,installed-2.84,2011,15941358799245,15941359383109,100000000,5.83864,True
01,installed-2.84,2012,15941363859341,15941364443069,100000000,5.83728,True
01,installed-2.84,2013,15941368921817,15941369506777,100000000,5.8496,True
01,installed-2.84,2014,15941373993073,15941374578241,100000000,5.85168,True
01,installed-2.84,2015,15941379065221,15941379648025,100000000,5.82804,True
01,installed-2.84,2016,15941384163841,15941384747557,100000000,5.83716,True
01,installed-2.84,2017,15941389248861,15941389832713,100000000,5.83852,True
01,installed-2.84,2018,15941394324161,15941394910917,100000000,5.86756,True
01,installed-2.84,2019,15941399421937,15941400007133,100000000,5.85196,True
01,installed-2.84,2020,15941404511977,15941405096801,100000000,5.84824,True
01,installed-2.84,2021,15941409598645,15941410182169,100000000,5.83524,True
01,installed-2.84,2022,15941414681881,15941415266825,100000000,5.84944,True
01,installed-2.84,2023,15941419766621,15941420350421,100000000,5.838,True
01,installed-2.84,2024,15941424851977,15941425434997,100000000,5.8302,True
01,installed-2.84,2025,15941429925533,15941430509149,100000000,5.83616,True
01,installed-2.84,2026,15941434993669,15941435577469,100000000,5.838,True
01,installed-2.84,2027,15941440074713,15941440659617,100000000,5.84904,True
01,installed-2.84,2028,15941445165161,15941445751709,100000000,5.86548,True
01,installed-2.84,2029,15941450244221,15941450828505,100000000,5.84284,True
01,installed-2.84,2030,15941455325809,15941455910409,100000000,5.846,True
01,installed-2.84,2031,15941460407977,15941460991869,100000000,5.83892,True
01,installed-2.84,2032,15941465479873,15941466063145,100000000,5.83272,True
01,installed-2.84,2033,15941470544921,15941471128493,100000000,5.83572,True
01,installed-2.84,2034,15941475635017,15941476217961,100000000,5.82944,True
01,installed-2.84,2035,15941480718441,15941481302293,100000000,5.83852,True
01,installed-2.84,2036,15941485797613,15941486384609,100000000,5.86996,True
01,installed-2.84,2037,15941490855397,15941491439841,100000000,5.84444,True
01,installed-2.84,2038,15941495952849,15941496537405,100000000,5.84556,True
01,installed-2.84,2039,15941501073969,15941501658009,100000000,5.8404,True
