run,variant,resolution,frame,gpu_ms
measure-1080p-r1-p1-fsr411,fsr411,1080p,253,7.118160000
measure-1080p-r1-p1-fsr411,fsr411,1080p,254,7.104160000
measure-1080p-r1-p1-fsr411,fsr411,1080p,255,7.119880000
measure-1080p-r1-p1-fsr411,fsr411,1080p,256,7.124640000
measure-1080p-r1-p1-fsr411,fsr411,1080p,257,7.137880000
measure-1080p-r1-p1-fsr411,fsr411,1080p,258,7.122240000
measure-1080p-r1-p1-fsr411,fsr411,1080p,259,7.157640000
measure-1080p-r1-p1-fsr411,fsr411,1080p,260,7.140800000
measure-1080p-r1-p1-fsr411,fsr411,1080p,261,7.189600000
measure-1080p-r1-p1-fsr411,fsr411,1080p,262,7.159680000
measure-1080p-r1-p1-fsr411,fsr411,1080p,263,6.663840000
measure-1080p-r1-p1-fsr411,fsr411,1080p,264,6.829520000
measure-1080p-r1-p1-fsr411,fsr411,1080p,265,7.144240000
measure-1080p-r1-p1-fsr411,fsr411,1080p,266,7.133400000
measure-1080p-r1-p1-fsr411,fsr411,1080p,267,7.108840000
measure-1080p-r1-p1-fsr411,fsr411,1080p,268,7.112320000
measure-1080p-r1-p1-fsr411,fsr411,1080p,269,7.103160000
measure-1080p-r1-p1-fsr411,fsr411,1080p,270,7.087120000
measure-1080p-r1-p1-fsr411,fsr411,1080p,271,7.108960000
measure-1080p-r1-p1-fsr411,fsr411,1080p,272,7.130800000
measure-1080p-r1-p1-fsr411,fsr411,1080p,273,7.133640000
measure-1080p-r1-p1-fsr411,fsr411,1080p,274,7.160160000
measure-1080p-r1-p1-fsr411,fsr411,1080p,275,7.163120000
measure-1080p-r1-p1-fsr411,fsr411,1080p,276,6.661160000
measure-1080p-r1-p1-fsr411,fsr411,1080p,277,6.687960000
measure-1080p-r1-p1-fsr411,fsr411,1080p,278,7.147360000
measure-1080p-r1-p1-fsr411,fsr411,1080p,279,7.145120000
measure-1080p-r1-p1-fsr411,fsr411,1080p,280,7.123840000
measure-1080p-r1-p1-fsr411,fsr411,1080p,281,7.108720000
measure-1080p-r1-p1-fsr411,fsr411,1080p,282,7.141080000
measure-1080p-r1-p1-fsr411,fsr411,1080p,283,7.106680000
measure-1080p-r1-p1-fsr411,fsr411,1080p,284,7.116120000
measure-1080p-r1-p1-fsr411,fsr411,1080p,285,7.118120000
measure-1080p-r1-p1-fsr411,fsr411,1080p,286,7.174400000
measure-1080p-r1-p1-fsr411,fsr411,1080p,287,7.171680000
measure-1080p-r1-p1-fsr411,fsr411,1080p,288,7.184320000
measure-1080p-r1-p1-fsr411,fsr411,1080p,289,6.661760000
measure-1080p-r1-p1-fsr411,fsr411,1080p,290,6.665960000
measure-1080p-r1-p1-fsr411,fsr411,1080p,291,7.156520000
measure-1080p-r1-p1-fsr411,fsr411,1080p,292,7.158720000
